"FIPS","STATE_FIPS","STATE","COUNTY","VOTE_DEM","VOTE_REP","VOTE_OTH","PERCENT_DE","PERCENT_RE","PERCENT_OT","SYMBOL_COD","TOTAL_VOTE"
"01001","01","AL","Autauga County",4758,15196,127,23.7,75.7,0.6,2,20081
"01003","01","AL","Baldwin County",15599,52971,750,22.5,76.4,1.1,2,69320
"01005","01","AL","Barbour County",4832,5899,46,44.8,54.7,0.4,4,10777
"01007","01","AL","Bibb County",2089,5472,39,27.5,72,0.5,2,7600
"01009","01","AL","Blount County",3938,17386,180,18.3,80.9,0.8,1,21504
"01011","01","AL","Bullock County",3210,1494,13,68.1,31.7,0.3,8,4717
"01013","01","AL","Butler County",3413,4979,24,40.6,59.2,0.3,4,8416
"01015","01","AL","Calhoun County",15083,29814,352,33.3,65.9,0.8,3,45249
"01017","01","AL","Chambers County",5347,7622,63,41,58.5,0.5,4,13032
"01019","01","AL","Cherokee County",3040,5923,86,33.6,65.5,1,3,9049
"01021","01","AL","Chilton County",3778,12829,86,22.6,76.9,0.5,2,16693
"01023","01","AL","Choctaw County",3303,3897,27,45.7,53.9,0.4,4,7227
"01025","01","AL","Clarke County",4627,6730,37,40.6,59.1,0.3,4,11394
"01027","01","AL","Clay County",1893,4624,59,28.8,70.3,0.9,2,6576
"01029","01","AL","Cleburne County",1391,4370,37,24,75.4,0.6,2,5798
"01031","01","AL","Coffee County",4480,13019,117,25.4,73.9,0.7,2,17616
"01033","01","AL","Colbert County",10598,13188,149,44.3,55.1,0.6,4,23935
"01035","01","AL","Conecuh County",2719,3271,31,45.2,54.3,0.5,4,6021
"01037","01","AL","Coosa County",2055,2905,41,41.1,58.1,0.8,4,5001
"01039","01","AL","Covington County",3423,11119,85,23.4,76,0.6,2,14627
"01041","01","AL","Crenshaw County",1698,3777,25,30.9,68.7,0.5,3,5500
"01043","01","AL","Cullman County",8045,26818,328,22.9,76.2,0.9,2,35191
"01045","01","AL","Dale County",4484,13621,126,24.6,74.7,0.7,2,18231
"01047","01","AL","Dallas County",11175,7335,63,60.2,39.5,0.3,8,18573
